POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
12;23;Panis Barthez Competition;Fabien BARTHEZ;Paul Loup CHATIN;Timothé BURET;;Ligier JS P2 - Nissan;M;LMP2;;LMP2;Classified;347;24:03'19.601;37 Laps;1'50.325;238;3'39.629;223.4;
13;1;Porsche Team;Timo BERNHARD;Mark WEBBER;Brendon HARTLEY;;Porsche 919 Hybrid;M;LMP1;H;;Classified;346;24:01'42.207;38 Laps;1 Laps;74;3'21.816;243.1;
14;49;Michael Shank Racing;John PEW;Oswaldo NEGRI JR;Laurens VANTHOOR;;Ligier JS P2 - Honda;D;LMP2;;LMP2;Classified;345;24:01'00.289;39 Laps;1 Laps;276;3'37.339;225.8;
15;43;RGR Sport by Morand;Ricardo GONZALEZ;Bruno SENNA;Filipe ALBUQUERQUE;;Ligier JS P2 - Nissan;D;LMP2;;LMP2;Classified;344;24:03'05.467;40 Laps;1 Laps;239;3'38.734;224.3;
16;30;Extreme Speed Motorsports;Scott SHARP;Ed BROWN;Johannes VAN OVERBEEK;;Ligier JS P2 - Nissan;D;LMP2;;LMP2;Classified;341;24:02'25.019;43 Laps;3 Laps;284;3'42.146;220.9;
17;25;Algarve Pro Racing;Michael MUNEMANN;Christopher HOY;Andrea PIZZITOLA;;Ligier JS P2 - Nissan;D;LMP2;;LMP2;Classified;341;24:02'34.836;43 Laps;9.817;244;3'40.450;222.6;
18;68;Ford Chip Ganassi Team USA;Joey HAND;Dirk MÜLLER;Sébastien BOURDAIS;;Ford GT;M;LMGTE Pro;;LMGTE Pro;Classified;340;24:01'51.591;44 Laps;1 Laps;311;3'51.840;211.6;
19;82;Risi Competizione;Giancarlo FISICHELLA;Toni VILANDER;Matteo MALUCELLI;;Ferrari 488 GTE;M;LMGTE Pro;;LMGTE Pro;Classified;340;24:02'01.791;44 Laps;10.200;194;3'52.269;211.2;
20;69;Ford Chip Ganassi Team USA;Ryan BRISCOE;Richard WESTBROOK;Scott DIXON;;Ford GT;M;LMGTE Pro;;LMGTE Pro;Classified;340;24:02'06.385;44 Laps;4.594;329;3'51.514;211.9;
21;66;Ford Chip Ganassi Team UK;Olivier PLA;Stefan MÜCKE;Billy JOHNSON;;Ford GT;M;LMGTE Pro;;LMGTE Pro;Classified;339;24:03'54.438;45 Laps;1 Laps;282;3'51.582;211.9;
22;40;Krohn Racing;Tracy KROHN;Niclas JÖNSSON;João BARBOSA;;Ligier JS P2 - Nissan;M;LMP2;;LMP2;Classified;338;24:01'46.760;46 Laps;1 Laps;326;3'39.988;223.0;
23;95;Aston Martin Racing;Nicki THIIM;Marco SØRENSEN;Darren TURNER;;Aston Martin Vantage;D;LMGTE Pro;;LMGTE Pro;Classified;338;24:03'29.867;46 Laps;1'43.107;219;3'53.293;210.3;
24;97;Aston Martin Racing;Richie STANAWAY;Fernando REES;Jonathan ADAM;;Aston Martin Vantage;D;LMGTE Pro;;LMGTE Pro;Classified;337;24:03'04.755;47 Laps;1 Laps;291;3'53.809;209.8;
25;63;Corvette Racing - GM;Jan MAGNUSSEN;Antonio GARCIA;Ricky TAYLOR;;Chevrolet Corvette C7.R;M;LMGTE Pro;;LMGTE Pro;Classified;336;24:03'42.578;48 Laps;1 Laps;271;3'53.398;210.2;
26;62;Scuderia Corsa;William SWEEDLER;Townsend BELL;Jeffrey SEGAL;;Ferrari 458 Italia;M;LMGTE Am;;LMGTE Am;Classified;331;24:01'02.654;53 Laps;5 Laps;80;3'56.671;207.3;
27;83;AF Corse;François PERRODO;Emmanuel COLLARD;Rui AGUAS;;Ferrari F458 Italia;M;LMGTE Am;;LMGTE Am;Classified;331;24:03'57.551;53 Laps;2'54.897;270;3'56.639;207.3;
28;88;Abu Dhabi-Proton Racing;Khaled AL QUBAISI;David HEINEMEIER HANSSON;Patrick LONG;;Porsche 911 RSR;M;LMGTE Am;;LMGTE Am;Classified;330;24:01'51.085;54 Laps;1 Laps;278;3'57.989;206.2;
29;12;Rebellion Racing;Nicolas PROST;Nick HEIDFELD;Nelson PIQUET JR;;Rebellion R-One - AER;D;LMP1;;LMP1 PRIVATE;Classified;330;24:02'18.466;54 Laps;27.381;89;3'26.838;237.2;
30;61;Clearwater Racing;Weng MOK;Keita SAWA;Robert BELL;;Ferrari 458 Italia;M;LMGTE Am;;LMGTE Am;Classified;329;24:03'10.252;55 Laps;1 Laps;232;3'57.339;206.7;
31;77;Dempsey - Proton Racing;Richard LIETZ;Michael CHRISTENSEN;Philipp ENG;;Porsche 911 RSR (2016);M;LMGTE Pro;;LMGTE Pro;Classified;329;24:04'12.246;55 Laps;1'01.994;91;3'54.377;209.3;
32;22;SO24 ! By Lombard Racing;Vincent CAPILLAIRE;Erik MARIS;Jonathan COLEMAN;;Ligier JS P2 - Judd;D;LMP2;;LMP2;Classified;328;24:01'21.362;56 Laps;1 Laps;276;3'43.769;219.3;
33;86;Gulf Racing;Michael WAINWRIGHT;Adam CARROLL;Ben BARKER;;Porsche 911 RSR;M;LMGTE Am;;LMGTE Am;Classified;328;24:03'27.834;56 Laps;2'06.472;138;3'58.004;206.1;
34;48;Murphy Prototypes;Ben KEATING;Jeroen BLEEKEMOLEN;Marc GOOSSENS;;Oreca 03R - Nissan;D;LMP2;;LMP2;Classified;323;24:00'48.536;61 Laps;5 Laps;280;3'41.582;221.4;
35;60;Formula Racing;Johnny LAURSEN;Mikkel MAC;Christina NIELSEN;;Ferrari 458 Italia;M;LMGTE Am;;LMGTE Am;Classified;319;24:03'00.107;65 Laps;4 Laps;109;3'57.218;206.8;
36;99;Aston Martin Racing;Andrew HOWARD;Liam GRIFFIN;Gary HIRSCH;;Aston Martin V8 Vantage;D;LMGTE Am;;LMGTE Am;Classified;318;24:04'40.265;66 Laps;1 Laps;288;3'58.503;205.7;
37;50;Larbre Competition;Yutaka YAMAGISHI;Pierre RAGUES;Jean-Philippe BELLOC;;Chevrolet Corvette C7-Z06;M;LMGTE Am;;LMGTE Am;Classified;316;24:02'55.234;68 Laps;2 Laps;212;3'57.739;206.4;
38;84;SRT41 By OAK Racing;Frédéric SAUSSET;Christophe TINSEAU;Jean Bernard BOUVET;;Morgan LMP2 - Nissan;M;CDNT;;;Classified;315;24:04'21.786;69 Laps;1 Laps;199;3'46.131;217.0;
39;57;Team AAI;Johnny O'CONNEL;Oliver BRYANT;Mark PATTERSON;;Chevrolet Corvette C7-Z06;M;LMGTE Am;;LMGTE Am;Classified;306;24:01'05.718;78 Laps;9 Laps;193;3'57.939;206.2;
40;67;Ford Chip Ganassi Team UK;Marino FRANCHITTI;Andy PRIAULX;Harry TINCKNELL;;Ford GT;M;LMGTE Pro;;LMGTE Pro;Classified;306;24:03'54.471;78 Laps;2'48.753;216;3'52.453;211.1;
41;78;KCMG;Christian RIED;Wolf HENZLER;Joël CAMATHIAS;;Porsche 911 RSR;M;LMGTE Am;;LMGTE Am;Classified;300;24:02'46.481;84 Laps;6 Laps;206;3'58.417;205.8;
42;31;Extreme Speed Motorsports;Ryan DALZIEL;Luis Felipe DERANI;Chris CUMMING;;Ligier JS P2 - Nissan;D;LMP2;;LMP2;Classified;297;24:02'25.007;87 Laps;3 Laps;205;3'39.156;223.9;
43;55;AF Corse;Duncan CAMERON;Matt GRIFFIN;Aaron SCOTT;;Ferrari 458 Italia;M;LMGTE Am;;LMGTE Am;Classified;289;24:02'13.322;95 Laps;8 Laps;206;3'56.634;207.3;
44;34;Race Performance;Nicolas LEUTWILER;Shinji NAKANO;James WINSLOW;;Oreca 03R - Judd;D;LMP2;;LMP2;Classified;289;24:04'39.781;95 Laps;2'26.459;198;3'43.647;219.4;
45;5;Toyota Gazoo Racing;Anthony DAVIDSON;Sébastien BUEMI;Kazuki NAKAJIMA;;Toyota TS050 - Hybrid;M;LMP1;H;;Not classified;384;24:08'26.824;7'48.375;-95 Laps;275;3'22.495;242.3;
46;28;Pegasus Racing;Inès TAITTINGER;Rémy STRIEBIG;Léo ROUSSEL;;Morgan - Nissan;M;LMP2;;LMP2;Not classified;292;22:31'32.877;92 Laps;92 Laps;186;3'41.670;221.3;
47;98;Aston Martin Racing;Paul DALLA LANA;Pedro LAMY;Mathias LAUDA;;Aston Martin V8 Vantage;D;LMGTE Am;;LMGTE Am;Not classified;281;20:59'19.527;103 Laps;11 Laps;84;3'57.718;206.4;
48;38;G-Drive Racing;Simon DOLAN;Jake DENNIS;Giedo VAN DER GARDE;;Gibson 015S - Nissan;D;LMP2;;LMP2;Not classified;222;15:19'54.766;162 Laps;59 Laps;150;3'40.274;222.7;
49;13;Rebellion Racing;Mathéo TUSCHER;Alexandre IMPERATORI;Dominik KRAIHAMER;;Rebellion R-One - AER;D;LMP1;;LMP1 PRIVATE;Not classified;200;13:26'30.853;184 Laps;22 Laps;66;3'26.957;237.1;
50;44;Manor;Tor GRAVES;Matthew RAO;Roberto MERHI;;Oreca 05 - Nissan;D;LMP2;;LMP2;Retired;283;20:21'43.277;101 Laps;-83 Laps;257;3'36.259;226.9;
51;46;Thiriet By Tds Racing;Pierre THIRIET;Mathias BECHE;Ryo HIRAKAWA;;Oreca 05 - Nissan;D;LMP2;;LMP2;Retired;241;16:32'51.162;143 Laps;42 Laps;104;3'37.957;225.1;
52;35;Baxi DC Racing Alpine;David CHENG;Ho-Pin TUNG;Nelson PANCIATICI;;Alpine A460 - Nissan;D;LMP2;;LMP2;Retired;234;16:04'45.068;150 Laps;7 Laps;216;3'37.444;225.6;
53;64;Corvette Racing - GM;Oliver GAVIN;Tommy MILNER;Jordan TAYLOR;;Chevrolet Corvette C7.R;M;LMGTE Pro;;LMGTE Pro;Retired;219;15:46'31.096;165 Laps;15 Laps;198;3'54.359;209.4;
54;4;Bykolles Racing Team;Simon TRUMMER;Oliver WEBB;Pierre KAFFER;;CLM P1/01 - AER;D;LMP1;;LMP1 PRIVATE;Retired;206;16:11'39.684;178 Laps;13 Laps;61;3'36.288;226.8;
55;51;AF Corse;Gianmaria BRUNI;James CALADO;Alessandro PIER GUIDI;;Ferrari 488 GTE;M;LMGTE Pro;;LMGTE Pro;Retired;179;13:45'16.177;205 Laps;27 Laps;67;3'52.541;211.0;
56;71;AF Corse;Davide RIGON;Sam BIRD;Andrea BERTOLINI;;Ferrari 488 GTE;M;LMGTE Pro;;LMGTE Pro;Retired;143;10:35'29.729;241 Laps;36 Laps;98;3'53.434;210.2;
57;92;Porsche Motorsport;Frédéric MAKOWIECKI;Earl BAMBER;Jörg BERGMEISTER;;Porsche 911 RSR (2016);M;LMGTE Pro;;LMGTE Pro;Retired;140;11:32'34.506;244 Laps;3 Laps;107;3'53.500;210.1;
58;91;Porsche Motorsport;Patrick PILET;Kevin ESTRE;Nick TANDY;;Porsche 911 RSR (2016);M;LMGTE Pro;;LMGTE Pro;Retired;135;9:52'00.744;249 Laps;5 Laps;63;3'53.754;209.9;
59;47;KCMG;Tsugio MATSUDA;Matthew HOWSON;Richard BRADLEY;;Oreca 05 - Nissan;D;LMP2;;LMP2;Retired;116;9:27'09.828;268 Laps;19 Laps;37;3'39.650;223.4;
60;89;Proton Competition;Cooper MACNEIL;Lehman KEEN;Marc MILLER;;Porsche 911 RSR;M;LMGTE Am;;LMGTE Am;Retired;50;3:53'49.528;334 Laps;66 Laps;33;4'01.419;203.2;
